customer_id,signup_date,acquisition_channel,acquisition_month
112,2025-01-20,Influencer - Micro,2025-01
113,2025-01-18,Influencer - Macro,2025-01
114,2025-01-07,Influencer - Macro,2025-01
115,2025-01-20,Paid Social,2025-01
116,2025-01-30,Paid Social,2025-01
117,2025-01-09,Influencer - Macro,2025-01
118,2025-01-11,Influencer - Micro,2025-01
119,2025-01-24,Influencer - Macro,2025-01
120,2025-01-10,Influencer - Micro,2025-01
121,2025-01-05,Influencer - Macro,2025-01
122,2025-01-25,Influencer - Micro,2025-01
123,2025-01-15,Paid Social,2025-01
124,2025-01-26,Paid Social,2025-01
125,2025-01-25,Influencer - Macro,2025-01
126,2025-01-15,Organic & Referral,2025-01
127,2025-01-14,Influencer - Macro,2025-01
128,2025-01-08,Influencer - Macro,2025-01
129,2025-01-27,Influencer - Micro,2025-01
130,2025-01-16,Influencer - Macro,2025-01
131,2025-01-29,Paid Social,2025-01
132,2025-01-24,Paid Social,2025-01
133,2025-01-15,Influencer - Macro,2025-01
134,2025-01-02,Organic & Referral,2025-01
135,2025-01-15,Influencer - Macro,2025-01
136,2025-01-22,Influencer - Micro,2025-01
137,2025-01-17,Influencer - Macro,2025-01
138,2025-01-31,Organic & Referral,2025-01
139,2025-01-18,Influencer - Macro,2025-01
140,2025-01-03,Influencer - Macro,2025-01
141,2025-01-17,Influencer - Macro,2025-01
142,2025-01-12,Organic & Referral,2025-01
143,2025-01-27,Paid Social,2025-01
144,2025-01-04,Paid Social,2025-01
145,2025-01-05,Paid Social,2025-01
146,2025-01-18,Paid Social,2025-01
147,2025-01-03,Influencer - Micro,2025-01
148,2025-01-06,Influencer - Macro,2025-01
149,2025-01-05,Paid Social,2025-01
150,2025-01-06,Influencer - Micro,2025-01
151,2025-01-28,Influencer - Macro,2025-01
152,2025-01-18,Influencer - Macro,2025-01
153,2025-01-23,Paid Social,2025-01
154,2025-01-31,Influencer - Macro,2025-01
155,2025-01-01,Organic & Referral,2025-01
156,2025-01-13,Influencer - Macro,2025-01
157,2025-01-07,Influencer - Macro,2025-01
158,2025-01-23,Paid Social,2025-01
159,2025-01-17,Influencer - Macro,2025-01
160,2025-01-27,Influencer - Macro,2025-01
161,2025-01-24,Influencer - Micro,2025-01
162,2025-01-12,Paid Social,2025-01
163,2025-01-13,Influencer - Macro,2025-01
164,2025-01-19,Influencer - Macro,2025-01
165,2025-01-24,Paid Social,2025-01
166,2025-01-02,Organic & Referral,2025-01
167,2025-01-04,Influencer - Micro,2025-01
168,2025-01-15,Influencer - Macro,2025-01
169,2025-01-03,Influencer - Macro,2025-01
170,2025-01-28,Influencer - Macro,2025-01
171,2025-01-24,Influencer - Macro,2025-01
172,2025-01-31,Influencer - Micro,2025-01
173,2025-01-27,Influencer - Macro,2025-01
174,2025-01-17,Influencer - Micro,2025-01
175,2025-01-13,Influencer - Micro,2025-01
176,2025-01-06,Influencer - Micro,2025-01
177,2025-01-18,Influencer - Macro,2025-01
178,2025-01-23,Paid Social,2025-01
179,2025-01-30,Paid Social,2025-01
180,2025-01-17,Paid Social,2025-01
181,2025-02-10,Paid Social,2025-02
182,2025-02-13,Organic & Referral,2025-02
183,2025-02-26,Influencer - Macro,2025-02
184,2025-02-28,Paid Social,2025-02
185,2025-02-22,Influencer - Macro,2025-02
186,2025-02-11,Influencer - Micro,2025-02
187,2025-02-09,Influencer - Macro,2025-02
188,2025-02-10,Influencer - Macro,2025-02
189,2025-02-09,Organic & Referral,2025-02
190,2025-02-18,Influencer - Micro,2025-02
191,2025-02-02,Paid Social,2025-02
192,2025-02-08,Paid Social,2025-02
193,2025-02-07,Influencer - Micro,2025-02
194,2025-02-01,Paid Social,2025-02
195,2025-02-21,Influencer - Macro,2025-02
196,2025-02-10,Organic & Referral,2025-02
197,2025-02-27,Organic & Referral,2025-02
198,2025-02-21,Paid Social,2025-02
199,2025-02-08,Paid Social,2025-02
200,2025-02-10,Influencer - Macro,2025-02
201,2025-02-08,Organic & Referral,2025-02
202,2025-02-02,Influencer - Micro,2025-02
203,2025-02-17,Influencer - Macro,2025-02
204,2025-02-16,Influencer - Micro,2025-02
205,2025-02-07,Paid Social,2025-02
206,2025-02-02,Paid Social,2025-02
207,2025-02-19,Paid Social,2025-02
208,2025-02-25,Paid Social,2025-02
209,2025-02-06,Influencer - Macro,2025-02
210,2025-02-09,Organic & Referral,2025-02
211,2025-02-16,Influencer - Micro,2025-02
212,2025-02-01,Paid Social,2025-02
213,2025-02-14,Influencer - Macro,2025-02
214,2025-02-22,Organic & Referral,2025-02
215,2025-02-11,Influencer - Micro,2025-02
216,2025-02-09,Influencer - Macro,2025-02
217,2025-02-22,Paid Social,2025-02
218,2025-02-24,Influencer - Macro,2025-02
219,2025-02-25,Influencer - Macro,2025-02
220,2025-02-15,Paid Social,2025-02
221,2025-02-06,Influencer - Micro,2025-02
222,2025-02-11,Organic & Referral,2025-02
223,2025-02-06,Influencer - Micro,2025-02
224,2025-02-24,Paid Social,2025-02
225,2025-02-14,Paid Social,2025-02
226,2025-02-26,Paid Social,2025-02
227,2025-02-15,Paid Social,2025-02
228,2025-02-23,Paid Social,2025-02
229,2025-02-17,Organic & Referral,2025-02
230,2025-02-18,Influencer - Micro,2025-02
231,2025-02-11,Influencer - Macro,2025-02
232,2025-02-16,Paid Social,2025-02
233,2025-02-16,Organic & Referral,2025-02
234,2025-02-25,Influencer - Macro,2025-02
235,2025-02-15,Influencer - Micro,2025-02
236,2025-02-06,Organic & Referral,2025-02
237,2025-02-27,Paid Social,2025-02
238,2025-02-03,Organic & Referral,2025-02
239,2025-02-07,Paid Social,2025-02
240,2025-02-23,Paid Social,2025-02
241,2025-02-11,Influencer - Micro,2025-02
242,2025-02-05,Organic & Referral,2025-02
243,2025-02-16,Influencer - Micro,2025-02
244,2025-02-24,Paid Social,2025-02
245,2025-02-25,Influencer - Micro,2025-02
246,2025-02-14,Paid Social,2025-02
247,2025-02-18,Paid Social,2025-02
248,2025-02-12,Paid Social,2025-02
249,2025-02-24,Organic & Referral,2025-02
250,2025-02-25,Influencer - Micro,2025-02
251,2025-02-23,Paid Social,2025-02
252,2025-02-27,Influencer - Micro,2025-02
253,2025-02-07,Influencer - Micro,2025-02
254,2025-02-19,Influencer - Micro,2025-02
255,2025-02-14,Influencer - Macro,2025-02
256,2025-02-16,Influencer - Macro,2025-02
257,2025-02-27,Paid Social,2025-02
258,2025-02-25,Paid Social,2025-02
259,2025-02-28,Paid Social,2025-02
260,2025-02-23,Influencer - Macro,2025-02
261,2025-02-06,Influencer - Micro,2025-02
262,2025-02-16,Influencer - Macro,2025-02
263,2025-02-11,Paid Social,2025-02
264,2025-02-09,Organic & Referral,2025-02
265,2025-02-07,Influencer - Macro,2025-02
266,2025-02-13,Paid Social,2025-02
267,2025-02-06,Influencer - Macro,2025-02
268,2025-02-22,Influencer - Micro,2025-02
269,2025-02-23,Influencer - Macro,2025-02
270,2025-02-25,Influencer - Micro,2025-02
271,2025-02-08,Paid Social,2025-02
272,2025-02-15,Organic & Referral,2025-02
273,2025-02-18,Influencer - Macro,2025-02
274,2025-02-07,Paid Social,2025-02
275,2025-02-11,Paid Social,2025-02
276,2025-02-06,Organic & Referral,2025-02
277,2025-02-01,Paid Social,2025-02
278,2025-02-03,Influencer - Micro,2025-02
279,2025-02-28,Paid Social,2025-02
280,2025-02-21,Influencer - Micro,2025-02
281,2025-02-01,Organic & Referral,2025-02
282,2025-02-21,Influencer - Micro,2025-02
283,2025-02-21,Paid Social,2025-02
284,2025-02-06,Influencer - Macro,2025-02
285,2025-02-13,Influencer - Micro,2025-02
286,2025-02-20,Organic & Referral,2025-02
287,2025-02-11,Paid Social,2025-02
288,2025-02-15,Influencer - Micro,2025-02
289,2025-02-06,Organic & Referral,2025-02
290,2025-02-06,Organic & Referral,2025-02
291,2025-03-28,Influencer - Micro,2025-03
292,2025-03-07,Paid Social,2025-03
293,2025-03-31,Paid Social,2025-03
294,2025-03-05,Influencer - Macro,2025-03
295,2025-03-13,Influencer - Micro,2025-03
296,2025-03-20,Influencer - Micro,2025-03
297,2025-03-13,Influencer - Macro,2025-03
298,2025-03-08,Paid Social,2025-03
299,2025-03-04,Paid Social,2025-03
300,2025-03-06,Influencer - Macro,2025-03
301,2025-03-25,Paid Social,2025-03
302,2025-03-09,Paid Social,2025-03
303,2025-03-05,Paid Social,2025-03
304,2025-03-07,Organic & Referral,2025-03
305,2025-03-02,Paid Social,2025-03
306,2025-03-25,Organic & Referral,2025-03
307,2025-03-17,Influencer - Micro,2025-03
308,2025-03-19,Paid Social,2025-03
309,2025-03-04,Influencer - Micro,2025-03
310,2025-03-06,Paid Social,2025-03
311,2025-03-05,Paid Social,2025-03
312,2025-03-08,Influencer - Micro,2025-03
313,2025-03-19,Paid Social,2025-03
314,2025-03-29,Influencer - Micro,2025-03
315,2025-03-01,Influencer - Micro,2025-03
316,2025-03-13,Influencer - Macro,2025-03
317,2025-03-03,Paid Social,2025-03
318,2025-03-20,Influencer - Micro,2025-03
319,2025-03-19,Paid Social,2025-03
320,2025-03-25,Influencer - Micro,2025-03
321,2025-03-19,Paid Social,2025-03
322,2025-03-01,Organic & Referral,2025-03
323,2025-03-24,Paid Social,2025-03
324,2025-03-27,Paid Social,2025-03
325,2025-03-07,Organic & Referral,2025-03
326,2025-03-30,Organic & Referral,2025-03
327,2025-03-24,Paid Social,2025-03
328,2025-03-14,Organic & Referral,2025-03
329,2025-03-31,Organic & Referral,2025-03
330,2025-03-23,Paid Social,2025-03
331,2025-03-13,Paid Social,2025-03
332,2025-03-30,Influencer - Macro,2025-03
333,2025-03-06,Influencer - Macro,2025-03
334,2025-03-25,Paid Social,2025-03
335,2025-03-25,Paid Social,2025-03
336,2025-03-21,Paid Social,2025-03
337,2025-03-07,Paid Social,2025-03
338,2025-03-21,Paid Social,2025-03
339,2025-03-08,Organic & Referral,2025-03
340,2025-03-14,Influencer - Macro,2025-03
341,2025-03-22,Influencer - Micro,2025-03
342,2025-03-14,Paid Social,2025-03
343,2025-03-26,Organic & Referral,2025-03
344,2025-03-15,Organic & Referral,2025-03
345,2025-03-29,Organic & Referral,2025-03
346,2025-03-16,Organic & Referral,2025-03
347,2025-03-31,Influencer - Micro,2025-03
348,2025-03-17,Paid Social,2025-03
349,2025-03-31,Influencer - Micro,2025-03
350,2025-03-20,Paid Social,2025-03
351,2025-03-13,Organic & Referral,2025-03
352,2025-03-29,Influencer - Micro,2025-03
353,2025-03-09,Paid Social,2025-03
354,2025-03-31,Influencer - Micro,2025-03
355,2025-03-07,Influencer - Micro,2025-03
356,2025-03-14,Influencer - Micro,2025-03
357,2025-03-30,Influencer - Macro,2025-03
358,2025-03-03,Organic & Referral,2025-03
359,2025-03-13,Paid Social,2025-03
360,2025-03-14,Organic & Referral,2025-03
361,2025-03-06,Paid Social,2025-03
362,2025-03-25,Influencer - Micro,2025-03
363,2025-03-19,Influencer - Micro,2025-03
364,2025-03-03,Organic & Referral,2025-03
365,2025-03-01,Influencer - Micro,2025-03
366,2025-03-07,Organic & Referral,2025-03
367,2025-03-18,Influencer - Macro,2025-03
368,2025-03-23,Paid Social,2025-03
369,2025-03-15,Organic & Referral,2025-03
370,2025-03-20,Influencer - Micro,2025-03
371,2025-03-22,Influencer - Micro,2025-03
372,2025-03-14,Organic & Referral,2025-03
373,2025-03-07,Influencer - Micro,2025-03
374,2025-03-25,Paid Social,2025-03
375,2025-03-30,Paid Social,2025-03
376,2025-03-16,Influencer - Micro,2025-03
377,2025-03-23,Paid Social,2025-03
378,2025-03-16,Paid Social,2025-03
379,2025-03-19,Paid Social,2025-03
380,2025-03-30,Organic & Referral,2025-03
381,2025-04-30,Influencer - Micro,2025-04
382,2025-04-05,Paid Social,2025-04
383,2025-04-26,Organic & Referral,2025-04
384,2025-04-07,Influencer - Micro,2025-04
385,2025-04-12,Paid Social,2025-04
386,2025-04-06,Organic & Referral,2025-04
387,2025-04-11,Influencer - Micro,2025-04
388,2025-04-14,Influencer - Macro,2025-04
389,2025-04-18,Paid Social,2025-04
390,2025-04-11,Paid Social,2025-04
391,2025-04-04,Influencer - Macro,2025-04
392,2025-04-04,Paid Social,2025-04
393,2025-04-19,Paid Social,2025-04
394,2025-04-24,Influencer - Micro,2025-04
395,2025-04-11,Paid Social,2025-04
396,2025-04-28,Organic & Referral,2025-04
397,2025-04-18,Paid Social,2025-04
398,2025-04-24,Organic & Referral,2025-04
399,2025-04-03,Paid Social,2025-04
400,2025-04-06,Organic & Referral,2025-04
401,2025-04-23,Paid Social,2025-04
402,2025-04-24,Influencer - Micro,2025-04
403,2025-04-14,Organic & Referral,2025-04
404,2025-04-23,Paid Social,2025-04
405,2025-04-15,Influencer - Micro,2025-04
406,2025-04-11,Influencer - Micro,2025-04
407,2025-04-25,Paid Social,2025-04
408,2025-04-24,Influencer - Macro,2025-04
409,2025-04-10,Influencer - Micro,2025-04
410,2025-04-01,Influencer - Micro,2025-04
411,2025-04-20,Paid Social,2025-04
412,2025-04-27,Paid Social,2025-04
413,2025-04-18,Paid Social,2025-04
414,2025-04-05,Influencer - Micro,2025-04
415,2025-04-14,Influencer - Macro,2025-04
416,2025-04-11,Paid Social,2025-04
417,2025-04-23,Paid Social,2025-04
418,2025-04-26,Paid Social,2025-04
419,2025-04-02,Influencer - Micro,2025-04
420,2025-04-20,Influencer - Macro,2025-04
421,2025-04-27,Influencer - Micro,2025-04
422,2025-04-12,Paid Social,2025-04
423,2025-04-06,Paid Social,2025-04
424,2025-04-12,Organic & Referral,2025-04
425,2025-04-24,Paid Social,2025-04
426,2025-04-29,Paid Social,2025-04
427,2025-04-24,Paid Social,2025-04
428,2025-04-21,Influencer - Macro,2025-04
429,2025-04-03,Paid Social,2025-04
430,2025-04-28,Paid Social,2025-04
431,2025-04-16,Paid Social,2025-04
432,2025-04-22,Influencer - Micro,2025-04
433,2025-04-15,Paid Social,2025-04
434,2025-04-22,Organic & Referral,2025-04
435,2025-04-05,Influencer - Macro,2025-04
436,2025-04-19,Paid Social,2025-04
437,2025-04-19,Paid Social,2025-04
438,2025-04-30,Influencer - Micro,2025-04
439,2025-04-08,Paid Social,2025-04
440,2025-04-24,Paid Social,2025-04
441,2025-04-19,Organic & Referral,2025-04
442,2025-04-12,Organic & Referral,2025-04
443,2025-04-09,Influencer - Macro,2025-04
444,2025-04-23,Paid Social,2025-04
445,2025-04-10,Paid Social,2025-04
446,2025-04-13,Influencer - Micro,2025-04
447,2025-04-25,Paid Social,2025-04
448,2025-04-21,Organic & Referral,2025-04
449,2025-04-29,Influencer - Macro,2025-04
450,2025-04-26,Paid Social,2025-04
451,2025-04-13,Organic & Referral,2025-04
452,2025-04-15,Paid Social,2025-04
453,2025-04-21,Paid Social,2025-04
454,2025-04-11,Organic & Referral,2025-04
455,2025-04-03,Paid Social,2025-04
456,2025-04-02,Influencer - Micro,2025-04
457,2025-04-26,Influencer - Macro,2025-04
458,2025-04-06,Organic & Referral,2025-04
459,2025-04-04,Influencer - Micro,2025-04
460,2025-04-24,Paid Social,2025-04
461,2025-04-25,Influencer - Macro,2025-04
462,2025-04-09,Paid Social,2025-04
463,2025-04-21,Organic & Referral,2025-04
464,2025-04-05,Paid Social,2025-04
465,2025-04-04,Organic & Referral,2025-04
466,2025-05-25,Paid Social,2025-05
467,2025-05-28,Organic & Referral,2025-05
468,2025-05-06,Paid Social,2025-05
469,2025-05-30,Paid Social,2025-05
470,2025-05-20,Paid Social,2025-05
471,2025-05-30,Paid Social,2025-05
472,2025-05-12,Organic & Referral,2025-05
473,2025-05-14,Paid Social,2025-05
474,2025-05-18,Paid Social,2025-05
475,2025-05-24,Paid Social,2025-05
476,2025-05-31,Paid Social,2025-05
477,2025-05-28,Organic & Referral,2025-05
478,2025-05-04,Influencer - Micro,2025-05
479,2025-05-11,Influencer - Micro,2025-05
480,2025-05-15,Paid Social,2025-05
481,2025-05-09,Paid Social,2025-05
482,2025-05-29,Paid Social,2025-05
483,2025-05-07,Influencer - Macro,2025-05
484,2025-05-27,Paid Social,2025-05
485,2025-05-27,Paid Social,2025-05
486,2025-05-16,Paid Social,2025-05
487,2025-05-18,Paid Social,2025-05
488,2025-05-17,Paid Social,2025-05
489,2025-05-05,Paid Social,2025-05
490,2025-05-21,Paid Social,2025-05
491,2025-05-26,Paid Social,2025-05
492,2025-05-09,Paid Social,2025-05
493,2025-05-27,Paid Social,2025-05
494,2025-05-28,Influencer - Micro,2025-05
495,2025-05-29,Paid Social,2025-05
496,2025-05-18,Paid Social,2025-05
497,2025-05-08,Organic & Referral,2025-05
498,2025-05-28,Paid Social,2025-05
499,2025-05-14,Influencer - Macro,2025-05
500,2025-05-26,Paid Social,2025-05
501,2025-05-24,Influencer - Micro,2025-05
502,2025-05-10,Paid Social,2025-05
503,2025-05-25,Organic & Referral,2025-05
504,2025-05-31,Paid Social,2025-05
505,2025-05-24,Paid Social,2025-05
506,2025-05-22,Paid Social,2025-05
507,2025-05-06,Paid Social,2025-05
508,2025-05-19,Organic & Referral,2025-05
509,2025-05-10,Paid Social,2025-05
510,2025-05-16,Paid Social,2025-05
511,2025-05-04,Paid Social,2025-05
512,2025-05-03,Influencer - Macro,2025-05
513,2025-05-09,Influencer - Micro,2025-05
514,2025-05-23,Influencer - Micro,2025-05
515,2025-05-08,Paid Social,2025-05
516,2025-05-12,Organic & Referral,2025-05
517,2025-05-28,Paid Social,2025-05
518,2025-05-01,Influencer - Micro,2025-05
519,2025-05-01,Influencer - Micro,2025-05
520,2025-05-06,Paid Social,2025-05
521,2025-05-08,Organic & Referral,2025-05
522,2025-05-08,Paid Social,2025-05
523,2025-05-01,Paid Social,2025-05
524,2025-05-26,Organic & Referral,2025-05
525,2025-05-06,Influencer - Micro,2025-05
526,2025-05-05,Paid Social,2025-05
527,2025-05-01,Organic & Referral,2025-05
528,2025-05-11,Paid Social,2025-05
529,2025-05-06,Influencer - Macro,2025-05
530,2025-05-18,Organic & Referral,2025-05
531,2025-05-17,Organic & Referral,2025-05
532,2025-05-13,Paid Social,2025-05
533,2025-05-17,Paid Social,2025-05
534,2025-05-24,Influencer - Micro,2025-05
535,2025-05-03,Organic & Referral,2025-05
536,2025-05-21,Paid Social,2025-05
537,2025-05-06,Influencer - Macro,2025-05
538,2025-05-02,Paid Social,2025-05
539,2025-05-21,Organic & Referral,2025-05
540,2025-05-10,Organic & Referral,2025-05
541,2025-05-23,Paid Social,2025-05
542,2025-05-17,Influencer - Macro,2025-05
543,2025-05-07,Organic & Referral,2025-05
544,2025-05-17,Organic & Referral,2025-05
545,2025-05-24,Paid Social,2025-05
546,2025-06-05,Influencer - Macro,2025-06
547,2025-06-05,Paid Social,2025-06
548,2025-06-10,Influencer - Micro,2025-06
549,2025-06-30,Paid Social,2025-06
550,2025-06-30,Paid Social,2025-06
551,2025-06-07,Paid Social,2025-06
552,2025-06-21,Influencer - Micro,2025-06
553,2025-06-28,Influencer - Micro,2025-06
554,2025-06-05,Influencer - Macro,2025-06
555,2025-06-19,Organic & Referral,2025-06
556,2025-06-13,Paid Social,2025-06
557,2025-06-16,Influencer - Macro,2025-06
558,2025-06-22,Influencer - Macro,2025-06
559,2025-06-23,Paid Social,2025-06
560,2025-06-20,Paid Social,2025-06
561,2025-06-04,Paid Social,2025-06
562,2025-06-23,Paid Social,2025-06
563,2025-06-01,Organic & Referral,2025-06
564,2025-06-24,Paid Social,2025-06
565,2025-06-21,Paid Social,2025-06
566,2025-06-28,Influencer - Macro,2025-06
567,2025-06-17,Organic & Referral,2025-06
568,2025-06-18,Organic & Referral,2025-06
569,2025-06-20,Paid Social,2025-06
570,2025-06-16,Paid Social,2025-06
571,2025-06-22,Influencer - Micro,2025-06
572,2025-06-08,Organic & Referral,2025-06
573,2025-06-05,Paid Social,2025-06
574,2025-06-25,Influencer - Micro,2025-06
575,2025-06-17,Paid Social,2025-06
576,2025-06-15,Paid Social,2025-06
577,2025-06-08,Organic & Referral,2025-06
578,2025-06-14,Paid Social,2025-06
579,2025-06-24,Paid Social,2025-06
580,2025-06-14,Paid Social,2025-06
581,2025-06-18,Paid Social,2025-06
582,2025-06-13,Paid Social,2025-06
583,2025-06-01,Influencer - Macro,2025-06
584,2025-06-12,Paid Social,2025-06
585,2025-06-05,Paid Social,2025-06
586,2025-06-28,Paid Social,2025-06
587,2025-06-27,Paid Social,2025-06
588,2025-06-14,Influencer - Micro,2025-06
589,2025-06-21,Paid Social,2025-06
590,2025-06-15,Paid Social,2025-06
591,2025-06-19,Influencer - Macro,2025-06
592,2025-06-07,Paid Social,2025-06
593,2025-06-14,Paid Social,2025-06
594,2025-06-12,Paid Social,2025-06
595,2025-06-06,Paid Social,2025-06
596,2025-06-01,Organic & Referral,2025-06
597,2025-06-22,Paid Social,2025-06
598,2025-06-11,Paid Social,2025-06
599,2025-06-25,Organic & Referral,2025-06
600,2025-06-14,Paid Social,2025-06
601,2025-06-27,Paid Social,2025-06
602,2025-06-19,Paid Social,2025-06
603,2025-06-07,Paid Social,2025-06
604,2025-06-09,Paid Social,2025-06
605,2025-06-22,Paid Social,2025-06
606,2025-06-09,Paid Social,2025-06
607,2025-06-18,Influencer - Micro,2025-06
608,2025-06-05,Paid Social,2025-06
609,2025-06-30,Influencer - Micro,2025-06
610,2025-06-08,Paid Social,2025-06
611,2025-06-04,Paid Social,2025-06
612,2025-06-02,Organic & Referral,2025-06
613,2025-06-26,Influencer - Macro,2025-06
614,2025-06-25,Paid Social,2025-06
615,2025-06-22,Paid Social,2025-06
616,2025-06-01,Influencer - Macro,2025-06
617,2025-06-04,Paid Social,2025-06
618,2025-06-03,Influencer - Micro,2025-06
619,2025-06-10,Influencer - Micro,2025-06
620,2025-06-05,Paid Social,2025-06
621,2025-07-22,Influencer - Macro,2025-07
622,2025-07-12,Paid Social,2025-07
623,2025-07-18,Organic & Referral,2025-07
624,2025-07-10,Paid Social,2025-07
625,2025-07-13,Paid Social,2025-07
626,2025-07-25,Organic & Referral,2025-07
627,2025-07-15,Paid Social,2025-07
628,2025-07-06,Influencer - Macro,2025-07
629,2025-07-05,Organic & Referral,2025-07
630,2025-07-20,Paid Social,2025-07
631,2025-07-26,Influencer - Macro,2025-07
632,2025-07-11,Paid Social,2025-07
633,2025-07-01,Organic & Referral,2025-07
634,2025-07-14,Paid Social,2025-07
635,2025-07-18,Paid Social,2025-07
636,2025-07-30,Influencer - Micro,2025-07
637,2025-07-15,Influencer - Macro,2025-07
638,2025-07-10,Influencer - Micro,2025-07
639,2025-07-10,Paid Social,2025-07
640,2025-07-17,Organic & Referral,2025-07
641,2025-07-11,Influencer - Micro,2025-07
642,2025-07-05,Paid Social,2025-07
643,2025-07-29,Influencer - Micro,2025-07
644,2025-07-18,Influencer - Macro,2025-07
